"商品番号","商品名","active","販売価格0（定価）","商品写真（リンク）","広報フレーズ","販売開始時期","WEBサイトに掲載","商品名表記"
"10","円周率コースター","Yes（販売可能）","350","1jA5h3MExASMGArtQn15fc5Qc4lr97AfS","吸水性・耐熱性に優れたコルクに、円周率を109桁までらせん状に印字したコースター。水洗いでき、汚れてもお手入れが簡単。","Fri Jan 01 2016 00:00:00 GMT+0900 (Japan Standard Time)","はい(おすすめ)",""
"111","京大トート_くるみなし","Yes（販売可能）","1800","1cBMupAcLnrmWuKgpL1FMOU9iQvsWNasV","","Tue Nov 01 2022 00:00:00 GMT+0900 (Japan Standard Time)","はい","京大トート"
"300","二進数トランプ","No（販売不可能）","2400","1CHkHq45TCQY6Uoz5mhIANKmUsmH6ImBI","ふつうのトランプに飽きたあなたへ。カード中央の模様は2進数を図示しています。","Tue Nov 01 2022 00:00:00 GMT+0900 (Japan Standard Time)","はい",""
"410","ありが糖ポチ袋","Yes（販売可能）","350","1NGTxh-TzYnHWKHz0mzYSqSIYFToXgIJI","","Sun Jun 30 2024 00:00:00 GMT+0900 (Japan Standard Time)","はい",""
